date,종가,전일대비,등락율
2017.12.29,1.58,상승0.03,+ 1.94%
2017.12.28,1.55,상승0.04,+ 2.65%
2017.12.27,1.51,하락0.01,-0.66%
2017.12.26,1.52,상승0.01,+ 0.66%
2017.12.22,1.51,하락0.02,-1.31%
2017.12.21,1.53,상승0.02,+ 1.32%
2017.12.20,1.51,상승0.01,+ 0.67%
2017.12.19,1.50,보합0.00,0.00%
2017.12.18,1.50,하락0.01,-0.66%
2017.12.15,1.51,상승0.01,+ 0.67%
2017.12.14,1.50,보합0.00,0.00%
2017.12.13,1.50,하락0.01,-0.66%
2017.12.12,1.51,하락0.01,-0.66%
2017.12.11,1.52,보합0.00,0.00%
2017.12.08,1.52,상승0.03,+ 2.01%
2017.12.07,1.49,상승0.01,+ 0.68%
2017.12.06,1.48,상승0.01,+ 0.68%
2017.12.05,1.47,하락0.01,-0.68%
2017.12.04,1.48,보합0.00,0.00%
2017.12.01,1.48,하락0.05,-3.27%
2017.11.30,1.53,상승0.27,+ 21.43%
2017.11.29,1.26,보합0.00,0.00%
2017.11.28,1.26,보합0.00,0.00%
2017.11.27,1.26,상승0.01,+ 0.80%
2017.11.24,1.25,보합0.00,0.00%
2017.11.23,1.25,상승0.01,+ 0.81%
2017.11.22,1.24,하락0.01,-0.80%
2017.11.21,1.25,보합0.00,0.00%
2017.11.20,1.25,상승0.01,+ 0.81%
2017.11.17,1.24,보합0.00,0.00%
2017.11.16,1.24,보합0.00,0.00%
2017.11.15,1.24,보합0.00,0.00%
2017.11.14,1.24,하락0.01,-0.80%
2017.11.13,1.25,상승0.01,+ 0.81%
2017.11.10,1.24,보합0.00,0.00%
2017.11.09,1.24,상승0.01,+ 0.81%
2017.11.08,1.23,하락0.02,-1.60%
2017.11.07,1.25,상승0.02,+ 1.63%
2017.11.06,1.23,하락0.01,-0.81%
2017.11.03,1.24,보합0.00,0.00%
2017.11.02,1.24,보합0.00,0.00%
2017.11.01,1.24,하락0.02,-1.59%
2017.10.31,1.26,상승0.03,+ 2.44%
2017.10.30,1.23,하락0.01,-0.81%
2017.10.27,1.24,하락0.01,-0.80%
2017.10.26,1.25,상승0.01,+ 0.81%
2017.10.25,1.24,보합0.00,0.00%
2017.10.24,1.24,보합0.00,0.00%
2017.10.23,1.24,보합0.00,0.00%
2017.10.20,1.24,보합0.00,0.00%
2017.10.19,1.24,보합0.00,0.00%
2017.10.18,1.24,보합0.00,0.00%
2017.10.17,1.24,하락0.01,-0.80%
2017.10.16,1.25,보합0.00,0.00%
2017.10.13,1.25,보합0.00,0.00%
2017.10.12,1.25,상승0.01,+ 0.81%
2017.10.11,1.24,하락0.02,-1.59%
